Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte2;Datei_P_Spalte2;Datei_P_Spalte2_1;Kategorie
habe;Rabe;BeatriceF;;;;;I
hat;Rat;BeatriceF;;;;;I
Hau;rau;BeatriceF;;;;;I
Huf;Ruf;BeatriceF;;;;;I
Hut;Ruth;BeatriceF;;;;;I
Hose;Rose;BeatriceF;;;;;I
haute;Raute;BeatriceF;;;;;I
Hand;Rand;BeatriceF;;;;;I
Haar;rar;BeatriceF;;;;;I
hebe;Rebe;BeatriceF;;;;;I
Hieb;rieb;BeatriceF;;;;;I
heiﬂen;reiﬂen;BeatriceF;;;;;I
Haube;raube;BeatriceF;;;;;I
Humor;Rumor;BeatriceF;;;;;I
hatte;Ratte;BeatriceF;;;;;I
hieven;riefen;BeatriceF;;;;;I
hock;Rock;BeatriceF;;;;;I
Heim;Reim;BeatriceF;;;;;I
heiﬂ;Reis;BeatriceF;;;;;I
heizen;reizen;BeatriceF;;;;;I
h‰keln;r‰keln;BeatriceF;;;;;I
hauchen;rauchen;BeatriceF;;;;;I
Huf;Ruf;BeatriceF;;;;;I
hasse;Rasse;BeatriceF;;;;;I
Hauch;Rauch;BeatriceF;;;;;I
hˆren;rˆhren;BeatriceF;;;;;I
Heck;Reck;BeatriceF;;;;;I
Hieb;rieb;BeatriceF;;;;;I
Hasen;Rasen;BeatriceF;;;;;I
hain;rein;BeatriceF;;;;;I
haben;Raben;BeatriceF;;;;;I
Hund;rund;BeatriceF;;;;;I
h‰tte;rette;BeatriceF;;;;;I
heiﬂe;reiﬂe;BeatriceF;;;;;I
Hufe;Rufe;BeatriceF;;;;;I
