Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte2;Datei_P_Spalte2;Datei_P_Spalte2_1;Kategorie
rau;lau;BeatriceF;;;;;I
Raben;laben;BeatriceF;;;;;I
Rahce;Lache;BeatriceF;;;;;I
Rachen;lachen;BeatriceF;;;;;I
rasch;lasch;BeatriceF;;;;;I
rasch;lasch;BeatriceF;;;;;I
Rahmen;lahmen;BeatriceF;;;;;I
Rasne;lasen;BeatriceF;;;;;I
rasieren;lasieren;BeatriceF;;;;;I
Rasse;lasse;BeatriceF;;;;;I
Rasur;Lasur;BeatriceF;;;;;I
Reck;Leck;BeatriceF;;;;;I
Rachen;lachen;BeatriceF;;;;;I
Rand;Land;BeatriceF;;;;;I
Rast;Last;BeatriceF;;;;;I
rastet;lastet;BeatriceF;;;;;I
Ratte;Latte;BeatriceF;;;;;I
Raub;Laub;BeatriceF;;;;;I
Rauch;Lauch;BeatriceF;;;;;I
raufen;laufen;BeatriceF;;;;;I
Rose;Lose;BeatriceF;;;;;I
Roben;loben;BeatriceF;;;;;I
Rippe;Lippe;BeatriceF;;;;;I
Rinde;Linde;BeatriceF;;;;;I
rief;lief;BeatriceF;;;;;I
richten;lichten;BeatriceF;;;;;I
rette;Lette;BeatriceF;;;;;I
Reise;leise;BeatriceF;;;;;I
Reim;Leim;BeatriceF;;;;;I
reine;Leine;BeatriceF;;;;;I
Reihen;leihen;BeatriceF;;;;;I
Reiche;Leiche;BeatriceF;;;;;I
reiten;leiten;BeatriceF;;;;;I
Lot;rot;BeatriceF;;;;;I
rege;lege;BeatriceF;;;;;I
Reben;Leben;BeatriceF;;;;;I
Raute;Laute;BeatriceF;;;;;I
rauschen;lauschen;BeatriceF;;;;;I
raunen;Launen;BeatriceF;;;;;I
