lexemeId;lemma;q_concept;q_conceptDescription;picture
http://www.wikidata.org/entity/L295028;Eierschalensollbruchstellenverursacher;http://www.wikidata.org/entity/Q48492645;;http://commons.wikimedia.org/wiki/Special:FilePath/Eierschalensollbruchstellenverursacher.jpg
http://www.wikidata.org/entity/L400186;Nussecke;http://www.wikidata.org/entity/Q2005538;;http://commons.wikimedia.org/wiki/Special:FilePath/Nussecke%2C%20whole.jpg
http://www.wikidata.org/entity/L643968;Spätzlehobel;http://www.wikidata.org/entity/Q2314862;;http://commons.wikimedia.org/wiki/Special:FilePath/Sp%C3%A4tzlehobel.JPG
http://www.wikidata.org/entity/L643968;Spätzlehobel;http://www.wikidata.org/entity/Q2314862;;http://commons.wikimedia.org/wiki/Special:FilePath/Spaetzlehobel.jpg
http://www.wikidata.org/entity/L499880;Südfrucht;http://www.wikidata.org/entity/Q844144;;http://commons.wikimedia.org/wiki/Special:FilePath/ARS%20tropical%20fruit%20no%20labels.jpg
http://www.wikidata.org/entity/L407485;Robbenfell;http://www.wikidata.org/entity/Q302780;(abgezogenes) Fell einer Robbe;http://commons.wikimedia.org/wiki/Special:FilePath/Child%27s%20anorak%2C%20Inuit%20people%2C%20Greenland%2C%20sealskin%2C%20No.%201933.25.0018%20-%20Etnografiska%20museet%20-%20Stockholm%2C%20Sweden%20-%20DSC01263.JPG
http://www.wikidata.org/entity/L407485;Robbenfell;http://www.wikidata.org/entity/Q302780;(abgezogenes) Fell einer Robbe;http://commons.wikimedia.org/wiki/Special:FilePath/Man%27s%20parka%20and%20pants%2C%20Inuit%2C%20southern%20Baffin%20Island%2C%20Hudson%20Bay%2C%201910-1914%20-%20Royal%20Ontario%20Museum%20-%20DSC00302.JPG
http://www.wikidata.org/entity/L295849;Rezeption;http://www.wikidata.org/entity/Q66317493;(Begrüßungs-)Veranstaltung im festlichen Rahmen, z.B. aus feierlichen/offiziellen Anlässen;http://commons.wikimedia.org/wiki/Special:FilePath/D%C3%A9l%C3%A9gation%20v%C3%A9nitienne%20%C3%A0%20Damas%20%28mus%C3%A9e%20du%20Louvre%29%20%286358418295%29.jpg
http://www.wikidata.org/entity/L477769;Senegal;http://www.wikidata.org/entity/Q3569;1086 km langer Strom in Westafrika;http://commons.wikimedia.org/wiki/Special:FilePath/Pont%20Faidherbe%20Saint%20Louis.jpg
http://www.wikidata.org/entity/L619211;Pi;http://www.wikidata.org/entity/Q168;16. Buchstabe des griechischen Alphabets;http://commons.wikimedia.org/wiki/Special:FilePath/Greek%20pi.png
http://www.wikidata.org/entity/L401370;Tau;http://www.wikidata.org/entity/Q14415;19. griechischer Buchstabe;http://commons.wikimedia.org/wiki/Special:FilePath/Greek%20tau.png
http://www.wikidata.org/entity/L6265;Abisolierzange;http://www.wikidata.org/entity/Q321495;A hand held wire tool used to strip electrical insulation from electric wires;http://commons.wikimedia.org/wiki/Special:FilePath/Abisolierzange%20detail.jpg
http://www.wikidata.org/entity/L494501;Suppenlöffel;http://www.wikidata.org/entity/Q15075189;"a spoon for soup; it may be a Western or Chinese style spoon";http://commons.wikimedia.org/wiki/Special:FilePath/Chinese%20spoons.jpg
http://www.wikidata.org/entity/L494501;Suppenlöffel;http://www.wikidata.org/entity/Q15075189;"a spoon for soup; it may be a Western or Chinese style spoon";http://commons.wikimedia.org/wiki/Special:FilePath/Soup%20Spoon.jpg
http://www.wikidata.org/entity/L184864;Meeresspiegelanstieg;http://www.wikidata.org/entity/Q841083;Änderung des Höhenniveaus der Meeresoberfläche;http://commons.wikimedia.org/wiki/Special:FilePath/NASA-Satellite-sea-level-rise-observations.jpg
http://www.wikidata.org/entity/L296830;Bewegung;http://www.wikidata.org/entity/Q79782;Änderung des Ortes eines Beobachtungsobjektes mit der Zeit;http://commons.wikimedia.org/wiki/Special:FilePath/Polea-simple-fija.jpg
http://www.wikidata.org/entity/L296830;Bewegung;http://www.wikidata.org/entity/Q79782;Änderung des Ortes eines Beobachtungsobjektes mit der Zeit;http://commons.wikimedia.org/wiki/Special:FilePath/Orbital%20motion.gif
http://www.wikidata.org/entity/L296830;Bewegung;http://www.wikidata.org/entity/Q79782;Änderung des Ortes eines Beobachtungsobjektes mit der Zeit;http://commons.wikimedia.org/wiki/Special:FilePath/Simple%20harmonic%20oscillator.gif
http://www.wikidata.org/entity/L644205;Kriegsrecht;http://www.wikidata.org/entity/Q715625;Änderungen im innerstaatlichen Recht im Kriegsfall oder in Krisensituationen;http://commons.wikimedia.org/wiki/Special:FilePath/T-55A%20Martial%20law%20Poland.jpg
http://www.wikidata.org/entity/L7423;Frage;http://www.wikidata.org/entity/Q189756;Äußerung, bei der in der Folge eine Antwort erwartet wird;http://commons.wikimedia.org/wiki/Special:FilePath/Question%20mark.svg
http://www.wikidata.org/entity/L25807;Hand;http://www.wikidata.org/entity/Q613996;ägyptische Hieroglyphe;http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D46.png
http://www.wikidata.org/entity/L495035;Weste;http://www.wikidata.org/entity/Q958210;ärmellose Jacke;http://commons.wikimedia.org/wiki/Special:FilePath/Muzsky.png
http://www.wikidata.org/entity/L495035;Weste;http://www.wikidata.org/entity/Q958210;ärmellose Jacke;http://commons.wikimedia.org/wiki/Special:FilePath/Vest%20MET%20CI46.59.12.jpg
http://www.wikidata.org/entity/L7836;Kanon;http://www.wikidata.org/entity/Q1321686;ästhetischer Kanon, Proportionsregeln für bildende Künste;http://commons.wikimedia.org/wiki/Special:FilePath/Da%20Vinci%20Vitruve%20Luc%20Viatour.jpg
http://www.wikidata.org/entity/L7836;Kanon;http://www.wikidata.org/entity/Q1321686;ästhetischer Kanon, Proportionsregeln für bildende Künste;http://commons.wikimedia.org/wiki/Special:FilePath/Doryphoros%20MIA%20866.jpg
http://www.wikidata.org/entity/L489094;Teebaumöl;http://www.wikidata.org/entity/Q48832;ätherisches Ölgemisch, Bakterizid, Fungizid;http://commons.wikimedia.org/wiki/Special:FilePath/Tea-tree-oil-bottle.jpg
http://www.wikidata.org/entity/L489094;Teebaumöl;http://www.wikidata.org/entity/Q48832;ätherisches Ölgemisch, Bakterizid, Fungizid;http://commons.wikimedia.org/wiki/Special:FilePath/Teatreeoil.jpg
http://www.wikidata.org/entity/L489094;Teebaumöl;http://www.wikidata.org/entity/Q48832;ätherisches Ölgemisch, Bakterizid, Fungizid;http://commons.wikimedia.org/wiki/Special:FilePath/TeaTreeOilSv.jpg
http://www.wikidata.org/entity/L31584;Bananenschale;http://www.wikidata.org/entity/Q13411117;äußere Umhüllung der Bananenfrucht;http://commons.wikimedia.org/wiki/Special:FilePath/Banane-A-05%20cropped.jpg
http://www.wikidata.org/entity/L298821;Berufsfeuerwehr;http://www.wikidata.org/entity/Q673079;öffentliche, kommunale Feuerwehr, die in der Regel nur aus verbeamteten oder fest angestellten Einsatzkräften des Feuerwehrtechnischen Dienstes besteht;http://commons.wikimedia.org/wiki/Special:FilePath/Pompiers%20IMG%202761.JPG
http://www.wikidata.org/entity/L295859;Taxi;http://www.wikidata.org/entity/Q82650;öffentliches Verkehrsmittel zur individuellen Personenbeförderung;http://commons.wikimedia.org/wiki/Special:FilePath/Cabs.jpg
http://www.wikidata.org/entity/L295859;Taxi;http://www.wikidata.org/entity/Q82650;öffentliches Verkehrsmittel zur individuellen Personenbeförderung;http://commons.wikimedia.org/wiki/Special:FilePath/Taxi%20Nerja.jpg
http://www.wikidata.org/entity/L297097;Husten;http://www.wikidata.org/entity/Q35805;über den Hustenreflex ausgelöstes, explosionsartiges Ausstoßen von Luft;http://commons.wikimedia.org/wiki/Special:FilePath/Coughing%20icon.svg
http://www.wikidata.org/entity/L497277;Troll;http://www.wikidata.org/entity/Q12581;übernatürlichen Wesen in der Mythologie;http://commons.wikimedia.org/wiki/Special:FilePath/John%20Bauer%201915.jpg
http://www.wikidata.org/entity/L497277;Troll;http://www.wikidata.org/entity/Q12581;übernatürlichen Wesen in der Mythologie;http://commons.wikimedia.org/wiki/Special:FilePath/Troll%20becoming%20a%20mountain%20ill%20jnl.png
http://www.wikidata.org/entity/L305143;Elf;http://www.wikidata.org/entity/Q174396;übernatürliches Wesen der germanischen Mythologie;http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Brandenburg%20Elfenreigen%20c1906-1909.jpg
http://www.wikidata.org/entity/L34175;Gott;http://www.wikidata.org/entity/Q190;übernatürliches Wesen oder eine höhere Macht;http://commons.wikimedia.org/wiki/Special:FilePath/Monad.svg
http://www.wikidata.org/entity/L6707;Teufel;http://www.wikidata.org/entity/Q6674;übernatürliches Wesen, oft Personifizierung des Bösen;http://commons.wikimedia.org/wiki/Special:FilePath/Hexentanzplatz%20-%20Teufel.jpg
http://www.wikidata.org/entity/L300589;Sandgrube;http://www.wikidata.org/entity/Q2220733;Abbau von Sand aus den obersten Sedimentschichten im Tagebau;http://commons.wikimedia.org/wiki/Special:FilePath/2017%20Sandgruben%20bei%20Gsteinach%2002.jpg
http://www.wikidata.org/entity/L29283;Fotografie;http://www.wikidata.org/entity/Q125191;Abbild der Realität, welches durch auftreffendes Licht auf eine lichtempfindliche Oberfläche erzeugt wurde;http://commons.wikimedia.org/wiki/Special:FilePath/1890s%20Carlisle%20Boarding%20School%20Graduates%20PA.jpg
http://www.wikidata.org/entity/L34086;Spiegelung;http://www.wikidata.org/entity/Q426221;Abbildung aus einem euklidischen Raum auf sich selbst, die eine Isometrie mit einer Hyperebene als Menge von Fixpunkten ist;http://commons.wikimedia.org/wiki/Special:FilePath/Punktspiegelung%20inkscape.svg
http://www.wikidata.org/entity/L306894;Abendessen;http://www.wikidata.org/entity/Q568285;abendliche Mahlzeit;http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%20%281452-1519%29%20-%20The%20Last%20Supper%20%281495-1498%29.jpg
http://www.wikidata.org/entity/L290427;Hausmüll;http://www.wikidata.org/entity/Q18538;Abfallgemisch aus privaten Haushalten und vergleichbaren Einrichtungen;http://commons.wikimedia.org/wiki/Special:FilePath/Mixed%20municipal%20waste.JPG
http://www.wikidata.org/entity/L408577;Film;http://www.wikidata.org/entity/Q11424;Abfolge von Bildern, die ein Gefühl von Bewegung vermitteln und eine Geschichte oder ein reales Ereignis erzählen;http://commons.wikimedia.org/wiki/Special:FilePath/Muybridge%20race%20horse%20animated.gif
http://www.wikidata.org/entity/L408577;Film;http://www.wikidata.org/entity/Q11424;Abfolge von Bildern, die ein Gefühl von Bewegung vermitteln und eine Geschichte oder ein reales Ereignis erzählen;http://commons.wikimedia.org/wiki/Special:FilePath/Fox%20movietone%202.jpg
http://www.wikidata.org/entity/L29351;Zoll;http://www.wikidata.org/entity/Q52389;Abgabe, die beim körperlichen Verbringen einer Ware über eine Zollgrenze erforderlich wird;http://commons.wikimedia.org/wiki/Special:FilePath/Aiga%20customs.svg
http://www.wikidata.org/entity/L7653;Text;http://www.wikidata.org/entity/Q234460;abgegrenzte, zusammenhängende, meist schriftliche sprachliche Äußerung;http://commons.wikimedia.org/wiki/Special:FilePath/Text.jpg
http://www.wikidata.org/entity/L312786;Garten;http://www.wikidata.org/entity/Q1107656;abgegrenztes Stück Land, in dem Pflanzen angebaut werden;http://commons.wikimedia.org/wiki/Special:FilePath/French%20Formal%20Garden%20in%20Loire%20Valley.jpg
http://www.wikidata.org/entity/L295856;Apartment;http://www.wikidata.org/entity/Q188507;abgeschlossene Wohneinheit als Teil eines Wohngebäudes;http://commons.wikimedia.org/wiki/Special:FilePath/Apartmentingurgaon.JPG
http://www.wikidata.org/entity/L222564;Geländer;http://www.wikidata.org/entity/Q3095365;Abgrenzung bestehend aus einem oder mehreren waagerechten Stangen und senkrechten Pfosten;http://commons.wikimedia.org/wiki/Special:FilePath/Spb%20NevskyPr%20Beloselsky%20Palace%20asv2019-09%20img10.jpg
http://www.wikidata.org/entity/L623193;Klareis;http://www.wikidata.org/entity/Q1192031;Ablagerung aus völlig durchsichtigem, klarem Eis;http://commons.wikimedia.org/wiki/Special:FilePath/Freezing%20Rain%20on%20Tree%20Branch.jpg
http://www.wikidata.org/entity/L623193;Klareis;http://www.wikidata.org/entity/Q1192031;Ablagerung aus völlig durchsichtigem, klarem Eis;http://commons.wikimedia.org/wiki/Special:FilePath/Ice%20on%20grass.jpg
http://www.wikidata.org/entity/L623193;Klareis;http://www.wikidata.org/entity/Q1192031;Ablagerung aus völlig durchsichtigem, klarem Eis;http://commons.wikimedia.org/wiki/Special:FilePath/Moscow%202010-2011%20glaze%20ice.jpg
http://www.wikidata.org/entity/L594311;Schaulaufen;http://www.wikidata.org/entity/Q108719793;abschließender, nicht gewerteter Teil vieler Eiskunstlaufwettbewerbe;http://commons.wikimedia.org/wiki/Special:FilePath/Kaitlin%20Hawayek-Jean-Luc%20Baker-GPFrance%202018-Gala-IMG%205000.jpeg
