Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte1;Datei_P_Spalte1;Datei_P_Spalte2;Kategorie
Bäder;weder;BeatriceF;;;;;I
Bord;Wort;BeatriceF;;;;;I
bellt;Welt;BeatriceF;;;;;I
beiß;weiß;BeatriceF;;;;;I
Ballen;wallen;BeatriceF;;;;;I
bangen;Wangen;BeatriceF;;;;;I
Bild;wild;BeatriceF;;;;;I
billig;willig;BeatriceF;;;;;I
Bock;Wok;BeatriceF;;;;;I
Bissen;Wissen;BeatriceF;;;;;I
Beile;Weile;BeatriceF;;;;;I
baden;Waden;BeatriceF;;;;;I
Bären;wären;BeatriceF;;;;;I
bald;Wald;BeatriceF;;;;;I
Betten;Wetten;BeatriceF;;;;;I
bieder;wieder;BeatriceF;;;;;I
Bohnen;wohnen;BeatriceF;;;;;I
Birken;wirken;BeatriceF;;;;;I
Bürde;Würde;BeatriceF;;;;;I
Wüste;Büste;BeatriceF;;;;;I
wuchten;Buchten;BeatriceF;;;;;I
Wrack;Brack;BeatriceF;;;;;I
Worte;Borte;BeatriceF;;;;;I
wiegen;biegen;BeatriceF;;;;;I
weben;beben;BeatriceF;;;;;I
warte;Barte;BeatriceF;;;;;I
wahre;Bahre;BeatriceF;;;;;I
Wache;Bache;BeatriceF;;;;;I
weil;Beil;BeatriceF;;;;;I
Wasser;Basser;BeatriceF;;;;;I
Wesen;Besen;BeatriceF;;;;;I
was;Bass;BeatriceF;;;;;I
Weiher;Bayer;BeatriceF;;;;;I
Welle;Bälle;BeatriceF;;;;;I
Weste;beste;BeatriceF;;;;;I
wecken;Becken;BeatriceF;;;;;I
Wucht;Bucht;BeatriceF;;;;;I
Weile;Beile;BeatriceF;;;;;I
