Wort_1;Wort_2;Madoo_Nutzername;Datei_T_Spalte1;Datei_T_Spalte2;Datei_P_Spalte2;Datei_P_Spalte2_1;Kategorie
fischen;wischen;BeatriceF;;;;;I
finden;winden;BeatriceF;;;;;I
fühlen;wühlen;BeatriceF;;;;;I
finde;Winde;BeatriceF;;;;;I
Fund;wund;BeatriceF;;;;;I
Fall;Wall;BeatriceF;;;;;I
fein;Wein;BeatriceF;;;;;I
Fach;wach;BeatriceF;;;;;I
Farm;warm;BeatriceF;;;;;I
fegen;wegen;BeatriceF;;;;;I
Fink;Wink;BeatriceF;;;;;I
Falter;Walter;BeatriceF;;;;;I
Fleck;weg;BeatriceF;;;;;I
Feste;Weste;BeatriceF;;;;;I
fallen;wallen;BeatriceF;;;;;I
fangen;Wangen;BeatriceF;;;;;I
Frage;Waage;BeatriceF;;;;;I
Fette;Wette;BeatriceF;;;;;I
Farbe;Wabe;BeatriceF;;;;;I
Felle;Welle;BeatriceF;;;;;I
Fisch;wisch;BeatriceF;;;;;I
fällt;Welt;BeatriceF;;;;;I
fort;Wort;BeatriceF;;;;;I
Feile;Weile;BeatriceF;;;;;I
Feder;weder;BeatriceF;;;;;I
fair;wer;BeatriceF;;;;;I
Phase;Vase;BeatriceF;;;;;I
fahr;war;BeatriceF;;;;;I
fände;Wände;BeatriceF;;;;;I
fällen;Wellen;BeatriceF;;;;;I
vier;wir;BeatriceF;;;;;I
